Fecha,Día,Evento,Competición
2026-06-17,Miércoles,Jornada 1,Liga
2026-06-19,Viernes,Jornada 2,Liga
2026-06-22,Lunes,1ª Ronda Previa,UEFA Champions League
2026-06-24,Miércoles,Jornada 3,Liga
2026-06-26,Viernes,2ª Ronda Previa,UEFA Champions League
2026-06-29,Lunes,Jornada 4,Liga
2026-07-01,Miércoles,Jornada 5,Liga
2026-07-03,Viernes,Jornada 1 Europea - Champions y Europa League,Competiciones Europeas
2026-07-06,Lunes,Jornada 6,Liga
2026-07-08,Miércoles,Copa KO (Dieciseisavos),Copa KO
2026-07-10,Viernes,Jornada 7,Liga
2026-07-13,Lunes,Jornada 2 Champions y Europa League,Competiciones Europeas
2026-07-15,Miércoles,Jornada 8,Liga
2026-07-17,Viernes,Jornada 3 Champions y Europa League,Competiciones Europeas
2026-07-20,Lunes,Jornada 9,Liga
2026-07-22,Miércoles,Copa KO (Octavos),Copa KO
2026-07-24,Viernes,Jornada 10,Liga
2026-07-27,Lunes,Jornada 4 Champions y Europa League,Competiciones Europeas
2026-07-29,Miércoles,Jornada 11,Liga
2026-07-31,Viernes,Jornada 5 Champions y Europa League,Competiciones Europeas
2026-08-03,Lunes,Jornada 12,Liga
2026-08-05,Miércoles,Jornada 6 Champions y Europa League,Competiciones Europeas
2026-08-07,Viernes,Jornada 13,Liga
2026-08-10,Lunes,Jornada 7 Champions y Europa League,Competiciones Europeas
2026-08-12,Miércoles,Jornada 14,Liga
2026-08-14,Viernes,Jornada 8 Champions y Europa League,Competiciones Europeas
2026-08-17,Lunes,Jornada 15,Liga
